,TIME,Value
4092,1990,3.137
4093,1991,1.906
4094,1992,2.787
4095,1993,2.331
4096,1994,2.538
4097,1995,3.049
4098,1996,3.451
4099,1997,3.347
4100,1998,5.12
4101,1999,4.917
4102,2000,6.399
4103,2001,7.479
4104,2002,6.331
4105,2003,6.237
4106,2004,9.372
4107,2005,11.347
4108,2006,7.167
4109,2007,1.11
4110,2008,-5.137
4111,2009,-5.548
4112,2010,-4.081
4113,2011,-3.861
4114,2012,-0.263
4115,2013,3.753
4116,2014,4.99
4117,2015,5.138
4118,2016,5.231
4119,2017,5.423
4120,2018,5.542
4121,2019,4.631
4122,2020,5.157
4123,2021,13.745
4124,2022,16.927
